id,description,counterparty,amount,expected_category,language,difficulty,ambiguity,scenario_group,notes
de-investments-07,Kapitalmarkt Konto Bewegung,,-42.5,investments,de,hard,True,de-investments-07,
en-fees-01,Monthly bank fee,,-42.5,fees,en,easy,False,en-fees-01,
en-fees-02,Account service charge,,-42.5,fees,en,easy,False,en-fees-02,
en-fees-03,Card replacement fee,,-42.5,fees,en,medium,False,en-fees-03,
en-fees-04,Processing cost debit,,-42.5,fees,en,medium,False,en-fees-04,
en-fees-05,Current account administration,,-42.5,fees,en,medium,False,en-fees-05,
en-fees-06,Foreign payment surcharge,,-42.5,fees,en,hard,True,en-fees-06,
en-fees-07,Small banking charge,,-42.5,fees,en,hard,True,en-fees-07,
de-fees-01,Monatliche Bankgebühr,,-42.5,fees,de,easy,False,de-fees-01,
de-fees-02,Kontoführungsgebühr,,-42.5,fees,de,easy,False,de-fees-02,
de-fees-03,Gebühr Ersatzkarte,,-42.5,fees,de,medium,False,de-fees-03,
de-fees-04,Bearbeitungskosten Abbuchung,,-42.5,fees,de,medium,False,de-fees-04,
de-fees-05,Verwaltung Girokonto,,-42.5,fees,de,medium,False,de-fees-05,
de-fees-06,Auslandseinsatzentgelt,,-42.5,fees,de,hard,True,de-fees-06,
de-fees-07,Kleine Bankkosten,,-42.5,fees,de,hard,True,de-fees-07,
en-taxes-01,Income tax payment,,-42.5,taxes,en,easy,False,en-taxes-01,
en-taxes-02,Tax office direct debit,,-42.5,taxes,en,easy,False,en-taxes-02,
en-taxes-03,Annual tax settlement,,-42.5,taxes,en,medium,False,en-taxes-03,
en-taxes-04,Government revenue payment,,-42.5,taxes,en,medium,False,en-taxes-04,
en-taxes-05,Municipal levy,,-42.5,taxes,en,medium,False,en-taxes-05,
en-taxes-06,Fiscal authority debit,,-42.5,taxes,en,hard,True,en-taxes-06,
en-taxes-07,Quarterly advance assessment,,-42.5,taxes,en,hard,True,en-taxes-07,
de-taxes-01,Einkommensteuer Zahlung,,-42.5,taxes,de,easy,False,de-taxes-01,
de-taxes-02,Finanzamt Lastschrift,,-42.5,taxes,de,easy,False,de-taxes-02,
de-taxes-03,Jährliche Steuerabrechnung,,-42.5,taxes,de,medium,False,de-taxes-03,
de-taxes-04,Zahlung an Steuerbehörde,,-42.5,taxes,de,medium,False,de-taxes-04,
de-taxes-05,Kommunale Abgabe,,-42.5,taxes,de,medium,False,de-taxes-05,
de-taxes-06,Fiskus Abbuchung,,-42.5,taxes,de,hard,True,de-taxes-06,
de-taxes-07,Vierteljährliche Vorauszahlung,,-42.5,taxes,de,hard,True,de-taxes-07,
en-savings-01,Transfer to savings account,,-42.5,savings,en,easy,False,en-savings-01,
en-savings-02,Monthly savings contribution,,-42.5,savings,en,easy,False,en-savings-02,
en-savings-03,Emergency fund deposit,,-42.5,savings,en,medium,False,en-savings-03,
en-savings-04,Move money to rainy day fund,,-42.5,savings,en,medium,False,en-savings-04,
en-savings-05,Reserve account allocation,,-42.5,savings,en,medium,False,en-savings-05,
en-savings-06,Personal nest egg,,-42.5,savings,en,hard,True,en-savings-06,
en-savings-07,Long term cash reserve,,-42.5,savings,en,hard,True,en-savings-07,
de-savings-01,Übertrag auf Sparkonto,,-42.5,savings,de,easy,False,de-savings-01,
de-savings-02,Monatliche Sparrate,,-42.5,savings,de,easy,False,de-savings-02,
de-savings-03,Einzahlung Notgroschen,,-42.5,savings,de,medium,False,de-savings-03,
de-savings-04,Geld auf Tagesgeld,,-42.5,savings,de,medium,False,de-savings-04,
de-savings-05,Zuweisung Rücklagenkonto,,-42.5,savings,de,medium,False,de-savings-05,
de-savings-06,Persönliche Rücklage,,-42.5,savings,de,hard,True,de-savings-06,
de-savings-07,Langfristige Barreserve,,-42.5,savings,de,hard,True,de-savings-07,
en-cash-01,ATM cash withdrawal station,,-42.5,cash,en,easy,False,en-cash-01,
en-cash-02,Cash machine city center,,-42.5,cash,en,easy,False,en-cash-02,
en-cash-03,Banknote withdrawal terminal,,-42.5,cash,en,medium,False,en-cash-03,
en-cash-04,Money taken from cashpoint,,-42.5,cash,en,medium,False,en-cash-04,
en-cash-05,Physical cash withdrawal,,-42.5,cash,en,medium,False,en-cash-05,
en-cash-06,Automated teller debit,,-42.5,cash,en,hard,True,en-cash-06,
en-cash-07,Cash obtained near station,,-42.5,cash,en,hard,True,en-cash-07,
de-cash-01,Bargeldabhebung Geldautomat,,-42.5,cash,de,easy,False,de-cash-01,
de-cash-02,Geldautomat Innenstadt,,-42.5,cash,de,easy,False,de-cash-02,
de-cash-03,Banknoten am Automaten,,-42.5,cash,de,medium,False,de-cash-03,
de-cash-04,Bargeld am Terminal geholt,,-42.5,cash,de,medium,False,de-cash-04,
de-cash-05,Auszahlung in bar,,-42.5,cash,de,medium,False,de-cash-05,
de-cash-06,Automatenverfügung Bahnhof,,-42.5,cash,de,hard,True,de-cash-06,
de-cash-07,Bares nahe Hauptbahnhof,,-42.5,cash,de,hard,True,de-cash-07,
en-groceries-01,Grocery basket Green Market,,-42.5,groceries,en,easy,False,en-groceries-01,
en-groceries-02,Weekly supermarket purchase,,-42.5,groceries,en,easy,False,en-groceries-02,
en-groceries-03,Fresh food and household supplies,,-42.5,groceries,en,medium,False,en-groceries-03,
en-groceries-04,Neighborhood produce store,,-42.5,groceries,en,medium,False,en-groceries-04,
en-groceries-05,Family pantry restock,,-42.5,groceries,en,medium,False,en-groceries-05,
en-groceries-06,Everyday food shop,,-42.5,groceries,en,hard,True,en-groceries-06,
en-groceries-07,Market basket Saturday,,-42.5,groceries,en,hard,True,en-groceries-07,
de-groceries-01,Lebensmitteleinkauf Grüner Markt,,-42.5,groceries,de,easy,False,de-groceries-01,
de-groceries-02,Wöchentlicher Supermarkt Einkauf,,-42.5,groceries,de,easy,False,de-groceries-02,
de-groceries-03,Frische Waren und Haushaltsbedarf,,-42.5,groceries,de,medium,False,de-groceries-03,
de-groceries-04,Obstladen im Viertel,,-42.5,groceries,de,medium,False,de-groceries-04,
de-groceries-05,Vorräte für die Familie,,-42.5,groceries,de,medium,False,de-groceries-05,
de-groceries-06,Einkauf für den Alltag,,-42.5,groceries,de,hard,True,de-groceries-06,
de-groceries-07,Marktkorb Samstag,,-42.5,groceries,de,hard,True,de-groceries-07,
en-dining-01,Dinner at Riverside Restaurant,,-42.5,dining,en,easy,False,en-dining-01,
en-dining-02,Coffee and cake downtown,,-42.5,dining,en,easy,False,en-dining-02,
en-dining-03,Pizza delivery evening,,-42.5,dining,en,medium,False,en-dining-03,
en-dining-04,Lunch counter payment,,-42.5,dining,en,medium,False,en-dining-04,
en-dining-05,Morning bakery visit,,-42.5,dining,en,medium,False,en-dining-05,
en-dining-06,Takeaway meal order,,-42.5,dining,en,hard,True,en-dining-06,
en-dining-07,Food truck at work,,-42.5,dining,en,hard,True,en-dining-07,
de-dining-01,Abendessen Restaurant am Fluss,,-42.5,dining,de,easy,False,de-dining-01,
de-dining-02,Kaffee und Kuchen Innenstadt,,-42.5,dining,de,easy,False,de-dining-02,
de-dining-03,Pizza Lieferung abends,,-42.5,dining,de,medium,False,de-dining-03,
de-dining-04,Mittagessen Kantine,,-42.5,dining,de,medium,False,de-dining-04,
de-dining-05,Besuch in der Bäckerei,,-42.5,dining,de,medium,False,de-dining-05,
de-dining-06,Essen zum Mitnehmen,,-42.5,dining,de,hard,True,de-dining-06,
de-dining-07,Imbisswagen bei der Arbeit,,-42.5,dining,de,hard,True,de-dining-07,
en-transport-01,City transit monthly ticket,,-42.5,transport,en,easy,False,en-transport-01,
en-transport-02,Fuel at North Road station,,-42.5,transport,en,easy,False,en-transport-02,
en-transport-03,Parking garage center,,-42.5,transport,en,medium,False,en-transport-03,
en-transport-04,Taxi ride home,,-42.5,transport,en,medium,False,en-transport-04,
en-transport-05,Regional train ticket,,-42.5,transport,en,medium,False,en-transport-05,
en-transport-06,Electric vehicle charging,,-42.5,transport,en,hard,True,en-transport-06,
en-transport-07,Commuter mobility payment,,-42.5,transport,en,hard,True,en-transport-07,
de-transport-01,Monatskarte Nahverkehr,,-42.5,transport,de,easy,False,de-transport-01,
de-transport-02,Tanken an der Nordstraße,,-42.5,transport,de,easy,False,de-transport-02,
de-transport-03,Parkhaus Innenstadt,,-42.5,transport,de,medium,False,de-transport-03,
de-transport-04,Taxifahrt nach Hause,,-42.5,transport,de,medium,False,de-transport-04,
de-transport-05,Regionalbahn Fahrkarte,,-42.5,transport,de,medium,False,de-transport-05,
de-transport-06,Elektroauto Ladestation,,-42.5,transport,de,hard,True,de-transport-06,
de-transport-07,Zahlung für Arbeitsweg,,-42.5,transport,de,hard,True,de-transport-07,
en-housing-01,Apartment rent August,,-42.5,housing,en,easy,False,en-housing-01,
en-housing-02,Mortgage installment home,,-42.5,housing,en,easy,False,en-housing-02,
en-housing-03,Property manager monthly debit,,-42.5,housing,en,medium,False,en-housing-03,
en-housing-04,Housing cooperative contribution,,-42.5,housing,en,medium,False,en-housing-04,
en-housing-05,Payment for my flat,,-42.5,housing,en,medium,False,en-housing-05,
en-housing-06,Residential lease charge,,-42.5,housing,en,hard,True,en-housing-06,
en-housing-07,Landlord standing order,,-42.5,housing,en,hard,True,en-housing-07,
de-housing-01,Wohnungsmiete August,,-42.5,housing,de,easy,False,de-housing-01,
de-housing-02,Hypothekenrate Eigenheim,,-42.5,housing,de,easy,False,de-housing-02,
de-housing-03,Hausverwaltung monatliche Abbuchung,,-42.5,housing,de,medium,False,de-housing-03,
de-housing-04,Beitrag Wohnungsgenossenschaft,,-42.5,housing,de,medium,False,de-housing-04,
de-housing-05,Zahlung für meine Wohnung,,-42.5,housing,de,medium,False,de-housing-05,
de-housing-06,Mietvertrag Belastung,,-42.5,housing,de,hard,True,de-housing-06,
de-housing-07,Dauerauftrag Vermieter,,-42.5,housing,de,hard,True,de-housing-07,
en-utilities-01,Electricity provider monthly bill,,-42.5,utilities,en,easy,False,en-utilities-01,
en-utilities-02,Home internet contract,,-42.5,utilities,en,easy,False,en-utilities-02,
en-utilities-03,Water utility charge,,-42.5,utilities,en,medium,False,en-utilities-03,
en-utilities-04,Mobile phone plan,,-42.5,utilities,en,medium,False,en-utilities-04,
en-utilities-05,Natural gas account debit,,-42.5,utilities,en,medium,False,en-utilities-05,
en-utilities-06,Broadband service payment,,-42.5,utilities,en,hard,True,en-utilities-06,
en-utilities-07,Household energy adjustment,,-42.5,utilities,en,hard,True,en-utilities-07,
de-utilities-01,Stromanbieter Monatsrechnung,,-42.5,utilities,de,easy,False,de-utilities-01,
de-utilities-02,Internetvertrag Zuhause,,-42.5,utilities,de,easy,False,de-utilities-02,
de-utilities-03,Wasserwerk Abschlag,,-42.5,utilities,de,medium,False,de-utilities-03,
de-utilities-04,Mobilfunktarif,,-42.5,utilities,de,medium,False,de-utilities-04,
de-utilities-05,Gasanbieter Lastschrift,,-42.5,utilities,de,medium,False,de-utilities-05,
de-utilities-06,Breitband Anschluss Zahlung,,-42.5,utilities,de,hard,True,de-utilities-06,
de-utilities-07,Energie Nachzahlung Haushalt,,-42.5,utilities,de,hard,True,de-utilities-07,
en-healthcare-01,Pharmacy prescription purchase,,-42.5,healthcare,en,easy,False,en-healthcare-01,
en-healthcare-02,Dental practice treatment,,-42.5,healthcare,en,easy,False,en-healthcare-02,
en-healthcare-03,City clinic invoice,,-42.5,healthcare,en,medium,False,en-healthcare-03,
en-healthcare-04,Doctor consultation fee,,-42.5,healthcare,en,medium,False,en-healthcare-04,
en-healthcare-05,Physiotherapy appointment,,-42.5,healthcare,en,medium,False,en-healthcare-05,
en-healthcare-06,Medical laboratory service,,-42.5,healthcare,en,hard,True,en-healthcare-06,
en-healthcare-07,Urgent care visit,,-42.5,healthcare,en,hard,True,en-healthcare-07,
de-healthcare-01,Apotheke Rezeptkauf,,-42.5,healthcare,de,easy,False,de-healthcare-01,
de-healthcare-02,Zahnarzt Behandlung,,-42.5,healthcare,de,easy,False,de-healthcare-02,
de-healthcare-03,Klinik Rechnung,,-42.5,healthcare,de,medium,False,de-healthcare-03,
de-healthcare-04,Arztbesuch Gebühr,,-42.5,healthcare,de,medium,False,de-healthcare-04,
de-healthcare-05,Physiotherapie Termin,,-42.5,healthcare,de,medium,False,de-healthcare-05,
de-healthcare-06,Medizinisches Labor,,-42.5,healthcare,de,hard,True,de-healthcare-06,
de-healthcare-07,Ärztlicher Bereitschaftsdienst,,-42.5,healthcare,de,hard,True,de-healthcare-07,
en-shopping-01,Clothing order online,,-42.5,shopping,en,easy,False,en-shopping-01,
en-shopping-02,Electronics store purchase,,-42.5,shopping,en,easy,False,en-shopping-02,
en-shopping-03,Large marketplace order,,-42.5,shopping,en,medium,False,en-shopping-03,
en-shopping-04,New household appliance,,-42.5,shopping,en,medium,False,en-shopping-04,
en-shopping-05,Department store checkout,,-42.5,shopping,en,medium,False,en-shopping-05,
en-shopping-06,Shoes from local retailer,,-42.5,shopping,en,hard,True,en-shopping-06,
en-shopping-07,General merchandise purchase,,-42.5,shopping,en,hard,True,en-shopping-07,
de-shopping-01,Kleidung online bestellt,,-42.5,shopping,de,easy,False,de-shopping-01,
de-shopping-02,Elektronikmarkt Einkauf,,-42.5,shopping,de,easy,False,de-shopping-02,
de-shopping-03,Große Marktplatz Bestellung,,-42.5,shopping,de,medium,False,de-shopping-03,
de-shopping-04,Neues Haushaltsgerät,,-42.5,shopping,de,medium,False,de-shopping-04,
de-shopping-05,Kaufhaus Kasse,,-42.5,shopping,de,medium,False,de-shopping-05,
de-shopping-06,Schuhe vom Händler,,-42.5,shopping,de,hard,True,de-shopping-06,
de-shopping-07,Allgemeiner Warenkauf,,-42.5,shopping,de,hard,True,de-shopping-07,
en-entertainment-01,Cinema tickets Friday,,-42.5,entertainment,en,easy,False,en-entertainment-01,
en-entertainment-02,Streaming monthly subscription,,-42.5,entertainment,en,easy,False,en-entertainment-02,
en-entertainment-03,Concert venue booking,,-42.5,entertainment,en,medium,False,en-entertainment-03,
en-entertainment-04,Video game purchase,,-42.5,entertainment,en,medium,False,en-entertainment-04,
en-entertainment-05,Museum admission,,-42.5,entertainment,en,medium,False,en-entertainment-05,
en-entertainment-06,Theatre evening,,-42.5,entertainment,en,hard,True,en-entertainment-06,
en-entertainment-07,Recreation membership,,-42.5,entertainment,en,hard,True,en-entertainment-07,
de-entertainment-01,Kinokarten Freitag,,-42.5,entertainment,de,easy,False,de-entertainment-01,
de-entertainment-02,Streaming Monatsabo,,-42.5,entertainment,de,easy,False,de-entertainment-02,
de-entertainment-03,Konzert Eintritt,,-42.5,entertainment,de,medium,False,de-entertainment-03,
de-entertainment-04,Videospiel gekauft,,-42.5,entertainment,de,medium,False,de-entertainment-04,
de-entertainment-05,Museum Eintritt,,-42.5,entertainment,de,medium,False,de-entertainment-05,
de-entertainment-06,Theaterabend,,-42.5,entertainment,de,hard,True,de-entertainment-06,
de-entertainment-07,Freizeit Mitgliedschaft,,-42.5,entertainment,de,hard,True,de-entertainment-07,
en-travel-01,Hotel reservation Barcelona,,-42.5,travel,en,easy,False,en-travel-01,
en-travel-02,Airline flight booking,,-42.5,travel,en,easy,False,en-travel-02,
en-travel-03,Holiday apartment deposit,,-42.5,travel,en,medium,False,en-travel-03,
en-travel-04,Travel agency package,,-42.5,travel,en,medium,False,en-travel-04,
en-travel-05,Airport accommodation,,-42.5,travel,en,medium,False,en-travel-05,
en-travel-06,Overnight stay abroad,,-42.5,travel,en,hard,True,en-travel-06,
en-travel-07,Vacation booking portal,,-42.5,travel,en,hard,True,en-travel-07,
de-travel-01,Hotelreservierung Barcelona,,-42.5,travel,de,easy,False,de-travel-01,
de-travel-02,Fluggesellschaft Buchung,,-42.5,travel,de,easy,False,de-travel-02,
de-travel-03,Ferienwohnung Anzahlung,,-42.5,travel,de,medium,False,de-travel-03,
de-travel-04,Reisebüro Pauschalreise,,-42.5,travel,de,medium,False,de-travel-04,
de-travel-05,Unterkunft am Flughafen,,-42.5,travel,de,medium,False,de-travel-05,
de-travel-06,Übernachtung im Ausland,,-42.5,travel,de,hard,True,de-travel-06,
de-travel-07,Urlaub Buchungsportal,,-42.5,travel,de,hard,True,de-travel-07,
en-insurance-01,Liability insurance premium,,-42.5,insurance,en,easy,False,en-insurance-01,
en-insurance-02,Vehicle policy monthly,,-42.5,insurance,en,easy,False,en-insurance-02,
en-insurance-03,Home contents coverage,,-42.5,insurance,en,medium,False,en-insurance-03,
en-insurance-04,Health insurer contribution,,-42.5,insurance,en,medium,False,en-insurance-04,
en-insurance-05,Travel protection policy,,-42.5,insurance,en,medium,False,en-insurance-05,
en-insurance-06,Annual protection contract,,-42.5,insurance,en,hard,True,en-insurance-06,
en-insurance-07,Insurer recurring debit,,-42.5,insurance,en,hard,True,en-insurance-07,
de-insurance-01,Haftpflichtversicherung Beitrag,,-42.5,insurance,de,easy,False,de-insurance-01,
de-insurance-02,Kfz Versicherung monatlich,,-42.5,insurance,de,easy,False,de-insurance-02,
de-insurance-03,Hausrat Absicherung,,-42.5,insurance,de,medium,False,de-insurance-03,
de-insurance-04,Krankenkasse Beitrag,,-42.5,insurance,de,medium,False,de-insurance-04,
de-insurance-05,Reiseversicherung Police,,-42.5,insurance,de,medium,False,de-insurance-05,
de-insurance-06,Jährlicher Schutzvertrag,,-42.5,insurance,de,hard,True,de-insurance-06,
de-insurance-07,Versicherer Lastschrift,,-42.5,insurance,de,hard,True,de-insurance-07,
en-education-01,University tuition installment,,-42.5,education,en,easy,False,en-education-01,
en-education-02,Online course enrollment,,-42.5,education,en,easy,False,en-education-02,
en-education-03,Language school payment,,-42.5,education,en,medium,False,en-education-03,
en-education-04,Professional training seminar,,-42.5,education,en,medium,False,en-education-04,
en-education-05,Exam registration charge,,-42.5,education,en,medium,False,en-education-05,
en-education-06,Learning platform subscription,,-42.5,education,en,hard,True,en-education-06,
en-education-07,Continuing education workshop,,-42.5,education,en,hard,True,en-education-07,
de-education-01,Universität Studiengebühr,,-42.5,education,de,easy,False,de-education-01,
de-education-02,Onlinekurs Anmeldung,,-42.5,education,de,easy,False,de-education-02,
de-education-03,Sprachschule Zahlung,,-42.5,education,de,medium,False,de-education-03,
de-education-04,Berufliche Weiterbildung Seminar,,-42.5,education,de,medium,False,de-education-04,
de-education-05,Prüfungsanmeldung Gebühr,,-42.5,education,de,medium,False,de-education-05,
de-education-06,Lernplattform Abonnement,,-42.5,education,de,hard,True,de-education-06,
de-education-07,Fortbildung Workshop,,-42.5,education,de,hard,True,de-education-07,
en-other-01,Miscellaneous local service,,-42.5,other,en,easy,False,en-other-01,
en-other-02,Unknown merchant reference 482,,-42.5,other,en,easy,False,en-other-02,
en-other-03,General payment reference,,-42.5,other,en,medium,False,en-other-03,
en-other-04,Community contribution,,-42.5,other,en,medium,False,en-other-04,
en-other-05,Private transfer to Alex,,-42.5,other,en,medium,False,en-other-05,
en-other-06,One-off personal service,,-42.5,other,en,hard,True,en-other-06,
en-other-07,Unclear recurring debit,,-42.5,other,en,hard,True,en-other-07,
de-other-01,Sonstige lokale Dienstleistung,,-42.5,other,de,easy,False,de-other-01,
de-other-02,Unbekannter Händler Referenz 482,,-42.5,other,de,easy,False,de-other-02,
de-other-03,Allgemeine Zahlung,,-42.5,other,de,medium,False,de-other-03,
de-other-04,Beitrag Gemeinschaft,,-42.5,other,de,medium,False,de-other-04,
de-other-05,Private Überweisung Familie,,-42.5,other,de,medium,False,de-other-05,
de-other-06,Einmalige private Hilfe,,-42.5,other,de,hard,True,de-other-06,
de-other-07,Unklare regelmäßige Abbuchung,,-42.5,other,de,hard,True,de-other-07,
